role,skills,tools_platforms,description
Data Scientist,Python SQL statistics machine learning data cleaning feature engineering model evaluation data visualization,Python pandas NumPy scikit-learn Jupyter Matplotlib Seaborn SQL,"Analyzes data, builds predictive models, and extracts insights to support business decisions."
Data Analyst,SQL Excel Python statistics dashboards data cleaning reporting visualization business analysis,Excel Power BI Tableau SQL Python pandas Google Sheets,"Turns raw data into reports, dashboards, and insights for teams and decision-makers."
Machine Learning Engineer,Python machine learning algorithms model deployment feature engineering APIs optimization data pipelines,Python scikit-learn TensorFlow PyTorch FastAPI Docker MLflow Git,"Builds, trains, optimizes, and deploys machine learning models into real applications."
AI Engineer,Python artificial intelligence machine learning NLP computer vision model integration automation APIs,Python OpenAI API LangChain TensorFlow PyTorch Hugging Face FastAPI,"Develops AI-powered systems, automations, and intelligent applications using modern AI tools."
Deep Learning Engineer,Python neural networks deep learning computer vision NLP model training GPUs optimization,PyTorch TensorFlow Keras CUDA Hugging Face Jupyter Weights and Biases,Designs and trains neural network models for advanced AI tasks such as vision and language.
Natural Language Processing Engineer,Python NLP text processing transformers embeddings tokenization language models machine learning,Python Hugging Face spaCy NLTK PyTorch TensorFlow LangChain,"Builds AI systems that understand, classify, search, summarize, or generate human language."
Computer Vision Engineer,Python image processing deep learning object detection classification segmentation neural networks,OpenCV PyTorch TensorFlow YOLO Keras NumPy Roboflow,"Creates systems that analyze images and videos for detection, recognition, or classification."
MLOps Engineer,machine learning deployment CI/CD Docker Kubernetes cloud monitoring pipelines automation versioning,Docker Kubernetes MLflow GitHub Actions AWS Azure GCP Airflow,"Manages the deployment, monitoring, and maintenance of machine learning systems in production."
Backend Developer,programming APIs databases server logic authentication SQL problem solving software architecture,Python Django Flask FastAPI Node.js Express PostgreSQL MySQL Git,"Builds server-side logic, APIs, authentication systems, and database-powered applications."
Frontend Developer,HTML CSS JavaScript UI design responsive design web development accessibility state management,React Vue Angular Tailwind CSS JavaScript TypeScript Figma Git,Creates user-facing website and web application interfaces with clean layouts and interactions.
Full Stack Developer,frontend backend databases APIs JavaScript Python web development authentication deployment,React Node.js Express Django PostgreSQL MongoDB Docker Git,Builds complete web applications across both frontend interfaces and backend systems.
Mobile App Developer,mobile development UI programming APIs databases authentication app deployment debugging,Flutter Dart React Native Android Studio Xcode Firebase Kotlin Swift,Develops mobile applications for Android and iOS with user interfaces and backend connections.
DevOps Engineer,Linux automation CI/CD cloud deployment Docker Kubernetes monitoring scripting infrastructure,Docker Kubernetes Jenkins GitHub Actions AWS Azure Linux Terraform,"Automates software deployment, infrastructure, monitoring, and development workflows."
Cloud Engineer,cloud computing networking Linux security deployment scalability automation infrastructure databases,AWS Azure Google Cloud Terraform Docker Kubernetes Linux,"Designs and manages cloud infrastructure, services, deployments, and scalable systems."
Cloud Architect,cloud architecture scalability security networking cost optimization system design infrastructure planning,AWS Azure GCP Terraform Kubernetes Docker CloudFormation,Designs large-scale cloud solutions and chooses the correct services for business needs.
Cybersecurity Analyst,networking security risk analysis threat detection Linux incident response vulnerability assessment,Wireshark Kali Linux Splunk SIEM Nmap Nessus Metasploit,"Monitors systems, detects security threats, investigates incidents, and reduces cyber risk."
Penetration Tester,ethical hacking networking web security Linux scripting vulnerability testing exploitation reporting,Kali Linux Burp Suite Metasploit Nmap Wireshark Python OWASP ZAP,Tests systems and applications for vulnerabilities before attackers can exploit them.
Security Engineer,security architecture cloud security identity management encryption threat prevention automation compliance,AWS Security Azure Security SIEM IAM Firewalls Linux Terraform,"Builds and maintains secure systems, access controls, and protection mechanisms."
